Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Embu,9,High,CTM,Baseline,2.4236443384635074,20.87381904567177,5.68,22.321808514519514,0.23750756799988515,,,
Embu,9,High,NTRM,Baseline,2.4236443384635074,20.87381904567177,5.68,22.321808514519514,0.23750756799988515,,,
Embu,10,High,C,Baseline,2.6,24.2,5.68,20.027629954794783,0.6120061218972374,,,
Embu,10,High,NTR,Baseline,2.6,24.2,5.68,20.027629954794783,0.6120061218972374,,,
Embu,10,High,CTM,Baseline,2.6,24.2,5.68,20.027629954794783,0.6120061218972374,,,
Embu,10,High,NTRM,Baseline,2.6,24.2,5.68,20.027629954794783,0.6120061218972374,,,
Embu,11,Low,C,Baseline,2.4,22.400000000000002,5.37,9.854521938666482,0.3628271058830167,,,
Embu,11,Low,NTR,Baseline,2.4,22.400000000000002,5.37,9.854521938666482,0.3628271058830167,,,
Embu,11,Low,CTM,Baseline,2.4,22.400000000000002,5.37,9.854521938666482,0.3628271058830167,,,
Embu,11,Low,NTRM,Baseline,2.4,22.400000000000002,5.37,9.854521938666482,0.3628271058830167,,,
Embu,12,Low,C,Baseline,2.405646072419531,19.636147672820602,5.37,5.259936157969609,0.08117174010462884,,,
Embu,12,Low,NTR,Baseline,2.405646072419531,19.636147672820602,5.37,5.259936157969609,0.08117174010462884,,,
Embu,12,Low,CTM,Baseline,2.405646072419531,19.636147672820602,5.37,5.259936157969609,0.08117174010462884,,,
Embu,12,Low,NTRM,Baseline,2.405646072419531,19.636147672820602,5.37,5.259936157969609,0.08117174010462884,,,
Embu,13,High,C,Baseline,2.5,23.599999999999998,5.67,4.139257120372756,0.35955359661462694,,,
Embu,13,High,NTR,Baseline,2.5,23.599999999999998,5.67,4.139257120372756,0.35955359661462694,,,
Embu,13,High,CTM,Baseline,2.5,23.599999999999998,5.67,4.139257120372756,0.35955359661462694,,,
Embu,13,High,NTRM,Baseline,2.5,23.599999999999998,5.67,4.139257120372756,0.35955359661462694,,,
Embu,14,High,C,Baseline,2.5760926984932535,21.515169329605538,5.67,12.256055344328361,0.719465850183483,,,
Embu,14,High,NTR,Baseline,2.5760926984932535,21.515169329605538,5.67,12.256055344328361,0.719465850183483,,,
Embu,14,High,CTM,Baseline,2.5760926984932535,21.515169329605538,5.67,12.256055344328361,0.719465850183483,,,
Embu,14,High,NTRM,Baseline,2.5760926984932535,21.515169329605538,5.67,12.256055344328361,0.719465850183483,,,
Embu,15,Low,C,Baseline,0.6866475855002357,6.991325574411484,4.71,0.7239763957516471,0.21273527327301542,,,
Embu,15,Low,NTR,Baseline,0.6866475855002357,6.991325574411484,4.71,0.7239763957516471,0.21273527327301542,,,
Embu,15,Low,CTM,Baseline,0.6866475855002357,6.991325574411484,4.71,0.7239763957516471,0.21273527327301542,,,
Embu,15,Low,NTRM,Baseline,0.6866475855002357,6.991325574411484,4.71,0.7239763957516471,0.21273527327301542,,,
Embu,16,Low,C,Baseline,0.6866475855002357,6.991325574411484,4.71,0.5274525414569676,0.2513027880960038,,,
Embu,16,Low,NTR,Baseline,0.6866475855002357,6.991325574411484,4.71,0.5274525414569676,0.2513027880960038,,,
Embu,16,Low,CTM,Baseline,0.6866475855002357,6.991325574411484,4.71,0.5274525414569676,0.2513027880960038,,,
Embu,16,Low,NTRM,Baseline,0.6866475855002357,6.991325574411484,4.71,0.5274525414569676,0.2513027880960038,,,
Embu,17,Low,C,Baseline,2.961751711320285,26.27521051176267,5.02,0.4716743171376353,0.6208942727434722,,,
Embu,17,Low,NTR,Baseline,2.961751711320285,26.27521051176267,5.02,0.4716743171376353,0.6208942727434722,,,
Embu,17,Low,CTM,Baseline,2.961751711320285,26.27521051176267,5.02,0.4716743171376353,0.6208942727434722,,,
Embu,17,Low,NTRM,Baseline,2.961751711320285,26.27521051176267,5.02,0.4716743171376353,0.6208942727434722,,,
Embu,18,Low,C,Baseline,2.961751711320285,26.27521051176267,5.02,0.6234573163896582,0.8031101335106655,,,
Embu,18,Low,NTR,Baseline,2.961751711320285,26.27521051176267,5.02,0.6234573163896582,0.8031101335106655,,,
Embu,18,Low,CTM,Baseline,2.961751711320285,26.27521051176267,5.02,0.6234573163896582,0.8031101335106655,,,
Embu,18,Low,NTRM,Baseline,2.961751711320285,26.27521051176267,5.02,0.6234573163896582,0.8031101335106655,,,
Embu,19,Low,C,Baseline,0.5743790671615054,4.769549356872778,4.99,14.039422603906916,1.08848131764905,,,
Embu,19,Low,NTR,Baseline,0.5743790671615054,4.769549356872778,4.99,14.039422603906916,1.08848131764905,,,
Embu,19,Low,CTM,Baseline,0.5743790671615054,4.769549356872778,4.99,14.039422603906916,1.08848131764905,,,
Embu,19,Low,NTRM,Baseline,0.5743790671615054,4.769549356872778,4.99,14.039422603906916,1.08848131764905,,,
Embu,20,Low,C,Baseline,0.5743790671615054,4.769549356872778,4.99,1.3376327387464284,0.1799703759558146,,,
Embu,20,Low,NTR,Baseline,0.5743790671615054,4.769549356872778,4.99,1.3376327387464284,0.1799703759558146,,,
Embu,20,Low,CTM,Baseline,0.5743790671615054,4.769549356872778,4.99,1.3376327387464284,0.1799703759558146,,,
